"lakeid","year4","daynum","sampledate","depth","rep","sta","event","cl","so4","ca","mg","na","k","fe","mn","cond","flagcl","flagso4","flagca","flagmg","flagna","flagk","flagfe","flagmn","flagcond"
"AL",1981,113,"1981-04-23",2,1,1,"Chem",,,9.6,2.72,1.44,0.75,,,,,,,,,,,,
"AL",1981,113,"1981-04-23",7,1,1,"Chem",,,,2.69,1.46,0.77,,,,,,,,,,,,
"AL",1981,183,"1981-07-02",0,1,1,"Non-chem",,,,,,,,,75,,,,,,,,,
"AL",1981,183,"1981-07-02",1,1,1,"Non-chem",,,,,,,,,74,,,,,,,,,
"AL",1981,183,"1981-07-02",2,1,1,"Non-chem",,,,,,,,,73,,,,,,,,,
"AL",1981,183,"1981-07-02",3,1,1,"Non-chem",,,,,,,,,72,,,,,,,,,
"AL",1981,183,"1981-07-02",4,1,1,"Non-chem",,,,,,,,,70,,,,,,,,,
"AL",1981,183,"1981-07-02",5,1,1,"Non-chem",,,,,,,,,69,,,,,,,,,
"AL",1981,183,"1981-07-02",6,1,1,"Non-chem",,,,,,,,,72,,,,,,,,,
"AL",1981,183,"1981-07-02",7,1,1,"Non-chem",,,,,,,,,75,,,,,,,,,
"AL",1981,183,"1981-07-02",8,1,1,"Non-chem",,,,,,,,,131,,,,,,,,,
"AL",1981,209,"1981-07-28",0,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1981,209,"1981-07-28",1,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1981,209,"1981-07-28",2,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1981,209,"1981-07-28",3,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1981,209,"1981-07-28",4,1,1,"Chem",,,,,,,,,73,,,,,,,,,
"AL",1981,209,"1981-07-28",5,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1981,209,"1981-07-28",6,1,1,"Chem",,,,,,,,,77,,,,,,,,,
"AL",1981,209,"1981-07-28",7,1,1,"Chem",,,,,,,,,100,,,,,,,,,
"AL",1981,239,"1981-08-27",0,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1981,239,"1981-08-27",3,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1981,239,"1981-08-27",4,1,1,"Chem",,,,,,,,,86,,,,,,,,,
"AL",1981,239,"1981-08-27",5,1,1,"Chem",,,,,,,,,87,,,,,,,,,
"AL",1981,239,"1981-08-27",6,1,1,"Chem",,,,,,,,,100,,,,,,,,,
"AL",1981,239,"1981-08-27",7,1,1,"Chem",,,,,,,,,145,,,,,,,,,
"AL",1981,269,"1981-09-26",0,1,1,"Chem",,,,,,,,,104,,,,,,,,,
"AL",1981,269,"1981-09-26",1,1,1,"Chem",,,,,,,,,105,,,,,,,,,
"AL",1981,269,"1981-09-26",2,1,1,"Chem",,,,,,,,,102,,,,,,,,,
"AL",1981,269,"1981-09-26",3,1,1,"Chem",,,,,,,,,105,,,,,,,,,
"AL",1981,269,"1981-09-26",4,1,1,"Chem",,,,,,,,,105,,,,,,,,,
"AL",1981,269,"1981-09-26",5,1,1,"Chem",,,,,,,,,105,,,,,,,,,
"AL",1981,269,"1981-09-26",6,1,1,"Chem",,,,,,,,,105,,,,,,,,,
"AL",1981,269,"1981-09-26",7,1,1,"Chem",,,,,,,,,121,,,,,,,,,
"AL",1982,26,"1982-01-26",0,1,1,"Chem",,,,,,,,,91,,,,,,,,,
"AL",1982,26,"1982-01-26",1,1,1,"Chem",,,,,,,,,88,,,,,,,,,
"AL",1982,26,"1982-01-26",2,1,1,"Chem",,,,,,,,,86,,,,,,,,,
"AL",1982,26,"1982-01-26",3,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1982,26,"1982-01-26",4,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1982,26,"1982-01-26",5,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1982,26,"1982-01-26",6,1,1,"Chem",,,,,,,,,92,,,,,,,,,
"AL",1982,26,"1982-01-26",7,1,1,"Chem",,,,,,,,,95,,,,,,,,,
"AL",1982,54,"1982-02-23",0,1,1,"Quarterly",,,,,,,,,74,,,,,,,,,
"AL",1982,54,"1982-02-23",1,1,1,"Quarterly",,,,,,,,,78,,,,,,,,,
"AL",1982,54,"1982-02-23",2,1,1,"Quarterly",,,,,,,,,82,,,,,,,,,
"AL",1982,54,"1982-02-23",3,1,1,"Quarterly",,,,,,,,,83,,,,,,,,,
"AL",1982,54,"1982-02-23",4,1,1,"Quarterly",,,,,,,,,87,,,,,,,,,
"AL",1982,54,"1982-02-23",5,1,1,"Quarterly",,,,,,,,,91,,,,,,,,,
"AL",1982,54,"1982-02-23",6,1,1,"Quarterly",,,,,,,,,97,,,,,,,,,
"AL",1982,54,"1982-02-23",7,1,1,"Quarterly",,,,,,,,,103,,,,,,,,,
"AL",1982,95,"1982-04-05",0,1,1,"Chem",,,,,,,,,50,,,,,,,,,
"AL",1982,95,"1982-04-05",1,1,1,"Chem",,,,,,,,,86,,,,,,,,,
"AL",1982,95,"1982-04-05",2,1,1,"Chem",,,,,,,,,92,,,,,,,,,
"AL",1982,95,"1982-04-05",3,1,1,"Chem",,,,,,,,,93,,,,,,,,,
"AL",1982,95,"1982-04-05",4,1,1,"Chem",,,,,,,,,96,,,,,,,,,
"AL",1982,95,"1982-04-05",5,1,1,"Chem",,,,,,,,,100,,,,,,,,,
"AL",1982,95,"1982-04-05",6,1,1,"Chem",,,,,,,,,104,,,,,,,,,
"AL",1982,95,"1982-04-05",7,1,1,"Chem",,,,,,,,,108,,,,,,,,,
"AL",1982,131,"1982-05-11",0,1,1,"Quarterly",0.28,3.56,10.56,2.85,1.37,0.64,,,82,,,,,,,,,
"AL",1982,131,"1982-05-11",1,1,1,"Quarterly",,,,,,,,,82,,,,,,,,,
"AL",1982,131,"1982-05-11",2,1,1,"Quarterly",,,,,,,,,83,,,,,,,,,
"AL",1982,131,"1982-05-11",3,1,1,"Quarterly",,,,,,,,,83,,,,,,,,,
"AL",1982,131,"1982-05-11",4,1,1,"Quarterly",,,,,,,,,83,,,,,,,,,
"AL",1982,131,"1982-05-11",5,1,1,"Quarterly",0.34,3.56,10.79,2.96,1.38,0.68,,,82,,,,,,,,,
"AL",1982,131,"1982-05-11",6,1,1,"Quarterly",0.29,3.34,10.79,3.03,1.4,0.7,,,89,,,,,,,,,
"AL",1982,131,"1982-05-11",7,1,1,"Quarterly",0.32,3.04,12.54,3.33,1.48,0.74,,,98,,,,,,,,,
"AL",1982,145,"1982-05-25",0,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1982,145,"1982-05-25",1,1,1,"Chem",,,,,,,,,93,,,,,,,,,
"AL",1982,145,"1982-05-25",2,1,1,"Chem",,,,,,,,,94,,,,,,,,,
"AL",1982,145,"1982-05-25",3,1,1,"Chem",,,,,,,,,94,,,,,,,,,
"AL",1982,145,"1982-05-25",4,1,1,"Chem",,,,,,,,,94,,,,,,,,,
"AL",1982,145,"1982-05-25",5,1,1,"Chem",,,,,,,,,95,,,,,,,,,
"AL",1982,145,"1982-05-25",6,1,1,"Chem",,,,,,,,,102,,,,,,,,,
"AL",1982,145,"1982-05-25",7,1,1,"Chem",,,,,,,,,113,,,,,,,,,
"AL",1982,176,"1982-06-25",0,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1982,176,"1982-06-25",1,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1982,176,"1982-06-25",2,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1982,176,"1982-06-25",3,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1982,176,"1982-06-25",4,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1982,176,"1982-06-25",5,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1982,176,"1982-06-25",6,1,1,"Chem",,,,,,,,,89,,,,,,,,,
"AL",1982,176,"1982-06-25",7,1,1,"Chem",,,,,,,,,103,,,,,,,,,
"AL",1982,186,"1982-07-05",0,1,1,"Chem",,,,,,,,,95,,,,,,,,,
"AL",1982,186,"1982-07-05",1,1,1,"Chem",,,,,,,,,95,,,,,,,,,
"AL",1982,186,"1982-07-05",2,1,1,"Chem",,,,,,,,,95,,,,,,,,,
"AL",1982,186,"1982-07-05",3,1,1,"Chem",,,,,,,,,95,,,,,,,,,
"AL",1982,186,"1982-07-05",4,1,1,"Chem",,,,,,,,,95,,,,,,,,,
"AL",1982,186,"1982-07-05",5,1,1,"Chem",,,,,,,,,95,,,,,,,,,
"AL",1982,186,"1982-07-05",6,1,1,"Chem",,,,,,,,,100,,,,,,,,,
"AL",1982,186,"1982-07-05",7,1,1,"Chem",,,,,,,,,110,,,,,,,,,
"AL",1982,217,"1982-08-05",0,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1982,217,"1982-08-05",1,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1982,217,"1982-08-05",2,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1982,217,"1982-08-05",3,1,1,"Chem",,,,,,,,,83,,,,,,,,,
"AL",1982,217,"1982-08-05",4,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1982,217,"1982-08-05",5,1,1,"Chem",,,,,,,,,89,,,,,,,,,
"AL",1982,217,"1982-08-05",6,1,1,"Chem",,,,,,,,,99,,,,,,,,,
"AL",1982,217,"1982-08-05",7,1,1,"Chem",,,,,,,,,139,,,,,,,,,
"AL",1982,228,"1982-08-16",0,1,1,"Quarterly",,,10.97,3,1.5,0.54,,,85,,,,,,,,,
"AL",1982,228,"1982-08-16",1,1,1,"Quarterly",,,,,,,,,85,,,,,,,,,
"AL",1982,228,"1982-08-16",2,1,1,"Quarterly",,,,,,,,,85,,,,,,,,,
"AL",1982,228,"1982-08-16",3,1,1,"Quarterly",0.2,3.27,10.78,3.05,1.48,0.55,,,85,,,,,,,,,
"AL",1982,228,"1982-08-16",4,1,1,"Quarterly",,,,,,,,,84,,,,,,,,,
"AL",1982,228,"1982-08-16",5,1,1,"Quarterly",0.31,3.26,11.37,3.04,1.48,0.59,,,88,,,,,,,,,
"AL",1982,228,"1982-08-16",6,1,1,"Quarterly",,,,,,,,,103,,,,,,,,,
"AL",1982,228,"1982-08-16",7,1,1,"Quarterly",0.39,1.23,14.27,3.28,1.57,,,,148,,,,,,,,,
"AL",1982,312,"1982-11-08",0,1,1,"Quarterly",0.28,3.61,10.04,2.74,1.4,0.49,,,77,,,,,,,,,
"AL",1982,312,"1982-11-08",1,1,1,"Quarterly",,,,,,,,,77,,,,,,,,,
"AL",1982,312,"1982-11-08",2,1,1,"Quarterly",,,,,,,,,77,,,,,,,,,
"AL",1982,312,"1982-11-08",3,1,1,"Quarterly",,,,,,,,,77,,,,,,,,,
"AL",1982,312,"1982-11-08",4,1,1,"Quarterly",0.4,3.54,10.14,2.76,1.43,0.48,,,77,,,,,,,,,
"AL",1982,312,"1982-11-08",5,1,1,"Quarterly",,,,,,,,,77,,,,,,,,,
"AL",1982,312,"1982-11-08",6,1,1,"Quarterly",,,,,,,,,77,,,,,,,,,
"AL",1982,312,"1982-11-08",7,1,1,"Quarterly",0.33,3.63,10.02,2.72,1.45,0.48,,,77,,,,,,,,,
"AL",1982,334,"1982-11-30",0,1,1,"Chem",,,,,,,,,77,,,,,,,,,
"AL",1982,334,"1982-11-30",1,1,1,"Chem",,,,,,,,,76,,,,,,,,,
"AL",1982,334,"1982-11-30",2,1,1,"Chem",,,,,,,,,76,,,,,,,,,
"AL",1982,334,"1982-11-30",3,1,1,"Chem",,,,,,,,,76,,,,,,,,,
"AL",1982,334,"1982-11-30",4,1,1,"Chem",,,,,,,,,76,,,,,,,,,
"AL",1982,334,"1982-11-30",5,1,1,"Chem",,,,,,,,,76,,,,,,,,,
"AL",1982,334,"1982-11-30",6,1,1,"Chem",,,,,,,,,76,,,,,,,,,
"AL",1982,334,"1982-11-30",7,1,1,"Chem",,,,,,,,,78,,,,,,,,,
"AL",1983,49,"1983-02-18",1,1,1,"Quarterly",0.3,4.11,10.55,3.04,1.53,0.65,,,78,,,,,,,,,
"AL",1983,49,"1983-02-18",4,1,1,"Quarterly",0.34,4.06,11.87,3.28,1.57,0.76,,,,,,,,,,,,
"AL",1983,49,"1983-02-18",7,1,1,"Quarterly",0.43,3.57,14.1,3.92,1.61,0.86,,,97,,,,,,,,,
"AL",1983,82,"1983-03-23",1,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1983,82,"1983-03-23",7,1,1,"Chem",,,,,,,,,116,,,,,,,,,
"AL",1983,130,"1983-05-10",1,1,1,"Quarterly",0.3,3.62,10.41,2.88,1.39,0.65,,,83,,,,,,,,,
"AL",1983,130,"1983-05-10",4,1,1,"Quarterly",0.29,3.61,10.5,2.86,1.39,0.68,,,81,,,,,,,,,
"AL",1983,130,"1983-05-10",7,1,1,"Quarterly",0.29,3.66,10.11,2.83,1.36,0.68,,,80,,,,,,,,,
"AL",1983,145,"1983-05-25",0,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1983,145,"1983-05-25",4,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1983,145,"1983-05-25",6,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1983,145,"1983-05-25",7,1,1,"Chem",,,,,,,,,80,,,,,,,,,
"AL",1983,159,"1983-06-08",0,1,1,"Chem",,,,,,,,,83,,,,,,,,,
"AL",1983,159,"1983-06-08",7,1,1,"Chem",,,,,,,,,86,,,,,,,,,
"AL",1983,173,"1983-06-22",4,1,1,"Chem",,,,,,,,,91,,,,,,,,,
"AL",1983,173,"1983-06-22",7,1,1,"Chem",,,,,,,,,78,,,,,,,,,
"AL",1983,186,"1983-07-05",0,1,1,"Chem",,,,,,,,,75,,,,,,,,,
"AL",1983,186,"1983-07-05",7,1,1,"Chem",,,,,,,,,92,,,,,,,,,
"AL",1983,201,"1983-07-20",0,1,1,"Chem",,,,,,,,,72,,,,,,,,,
"AL",1983,201,"1983-07-20",7,1,1,"Chem",,,,,,,,,94,,,,,,,,,
"AL",1983,216,"1983-08-04",0,1,1,"Chem",,,,,,,,,77,,,,,,,,,
"AL",1983,216,"1983-08-04",3,1,1,"Chem",,,,,,,,,77,,,,,,,,,
"AL",1983,216,"1983-08-04",7,1,1,"Chem",,,,,,,,,97,,,,,,,,,
"AL",1983,227,"1983-08-15",0,1,1,"Quarterly",0.32,3.37,10.04,2.92,1.38,0.51,,,79,,,,,,,,,
"AL",1983,227,"1983-08-15",2,1,1,"Quarterly",0.27,3.4,9.99,2.96,1.36,0.51,,,,,,,,,,,,
"AL",1983,227,"1983-08-15",6,1,1,"Quarterly",0.41,2.54,12.37,3.23,1.39,0.7,,,,,,,,,,,,
"AL",1983,227,"1983-08-15",7,1,1,"Quarterly",0.34,1.64,13.42,,1.44,,,,100,,,,,,,,,
"AL",1983,252,"1983-09-09",0,1,1,"Chem",,,,,,,,,80,,,,,,,,,
"AL",1983,252,"1983-09-09",7,1,1,"Chem",,,,,,,,,111,,,,,,,,,
"AL",1983,272,"1983-09-29",0,1,1,"Chem",,,,,,,,,82,,,,,,,,,
"AL",1983,272,"1983-09-29",3,1,1,"Chem",,,,,,,,,79,,,,,,,,,
"AL",1983,272,"1983-09-29",7,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1983,291,"1983-10-18",0,1,1,"Chem",,,,,,,,,80,,,,,,,,,
"AL",1983,291,"1983-10-18",4,1,1,"Chem",,,,,,,,,80,,,,,,,,,
"AL",1983,291,"1983-10-18",7,1,1,"Chem",,,,,,,,,80,,,,,,,,,
"AL",1983,320,"1983-11-16",0,1,1,"Quarterly",0.31,3.25,10.55,2.94,1.49,0.73,,,81,,,,,,,,,
"AL",1983,320,"1983-11-16",4,1,1,"Quarterly",0.33,3.25,10.61,2.94,1.47,0.72,,,82,,,,,,,,,
"AL",1983,320,"1983-11-16",7,1,1,"Quarterly",0.33,3.26,10.42,2.98,1.45,0.71,,,82,,,,,,,,,
"AL",1984,6,"1984-01-06",0,1,1,"Chem",,,,,,,,,89,,,,,,,,,
"AL",1984,6,"1984-01-06",4,1,1,"Chem",,,,,,,,,86,,,,,,,,,
"AL",1984,6,"1984-01-06",7,1,1,"Chem",,,,,,,,,93,,,,,,,,,
"AL",1984,60,"1984-02-29",0,1,1,"Quarterly",0.35,,10.66,3.03,1.63,0.7,,,85,,"I",,,,,,,
"AL",1984,60,"1984-02-29",4,1,1,"Quarterly",0.35,3.48,11.33,3.22,1.5,0.73,,,87,,,,,,,,,
"AL",1984,60,"1984-02-29",7,1,1,"Quarterly",0.37,3.47,13.17,3.64,1.59,0.82,,,102,,,,,,,,,
"AL",1984,94,"1984-04-03",0,1,1,"Chem",,,,,,,,,53,,,,,,,,,
"AL",1984,94,"1984-04-03",4,1,1,"Chem",,,,,,,,,91,,,,,,,,,
"AL",1984,94,"1984-04-03",7,1,1,"Chem",,,,,,,,,104,,,,,,,,,
"AL",1984,130,"1984-05-09",0,1,1,"Quarterly",0.32,3.58,10.02,2.91,1.41,0.73,,,82,,,,,,,,,
"AL",1984,130,"1984-05-09",4,1,1,"Quarterly",0.32,3.58,10.54,2.85,1.38,0.69,,,82,,,,,,,,,
"AL",1984,130,"1984-05-09",7,1,1,"Quarterly",0.33,3.58,10.6,2.88,1.39,0.72,,,82,,,,,,,,,
"AL",1984,144,"1984-05-23",0,1,1,"Chem",,,,,,,,,80,,,,,,,,,
"AL",1984,144,"1984-05-23",4,1,1,"Chem",,,,,,,,,81,,,,,,,,,
"AL",1984,144,"1984-05-23",7,1,1,"Chem",,,,,,,,,82,,,,,,,,,
"AL",1984,157,"1984-06-05",0,1,1,"Chem",,,,,,,,,81,,,,,,,,,
"AL",1984,157,"1984-06-05",4,1,1,"Chem",,,,,,,,,82,,,,,,,,,
"AL",1984,157,"1984-06-05",7,1,1,"Chem",,,,,,,,,90,,,,,,,,,
"AL",1984,173,"1984-06-21",0,1,1,"Chem",,,,,,,,,82,,,,,,,,,
"AL",1984,173,"1984-06-21",3,1,1,"Chem",,,,,,,,,83,,,,,,,,,
"AL",1984,173,"1984-06-21",7,1,1,"Chem",,,,,,,,,99,,,,,,,,,
"AL",1984,185,"1984-07-03",0,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1984,185,"1984-07-03",3,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1984,185,"1984-07-03",7,1,1,"Chem",,,,,,,,,96,,,,,,,,,
"AL",1984,200,"1984-07-18",0,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1984,200,"1984-07-18",4,1,1,"Chem",,,,,,,,,85,,,,,,,,,
"AL",1984,200,"1984-07-18",7,1,1,"Chem",,,,,,,,,111,,,,,,,,,
"AL",1984,215,"1984-08-02",0,1,1,"Chem",,,,,,,,,86,,,,,,,,,
"AL",1984,215,"1984-08-02",4,1,1,"Chem",,,,,,,,,87,,,,,,,,,
"AL",1984,215,"1984-08-02",7,1,1,"Chem",,,,,,,,,110,,,,,,,,,
"AL",1984,227,"1984-08-14",0,1,1,"Quarterly",0.33,3.13,11.78,3.31,1.46,0.67,,,86,,,,,,,,,
"AL",1984,227,"1984-08-14",4,1,1,"Quarterly",0.3,3.04,11.84,3.29,1.43,0.35,,,87,,,,,,"I",,,
"AL",1984,227,"1984-08-14",6,1,1,"Quarterly",0.33,2.4,13.12,3.42,1.47,0.76,,,,,,,,,,,,
"AL",1984,227,"1984-08-14",7,1,1,"Quarterly",0.54,1.27,14.93,3.52,1.46,0.94,,,110,"I",,"I",,,"I",,,
"AL",1984,250,"1984-09-06",0,1,1,"Chem",,,,,,,,,86,,,,,,,,,
"AL",1984,250,"1984-09-06",6,1,1,"Chem",,,,,,,,,90,,,,,,,,,
"AL",1984,250,"1984-09-06",7,1,1,"Chem",,,,,,,,,126,,,,,,,,,
"AL",1984,268,"1984-09-24",0,1,1,"Chem",,,,,,,,,88,,,,,,,,,
"AL",1984,268,"1984-09-24",4,1,1,"Chem",,,,,,,,,87,,,,,,,,,
"AL",1984,268,"1984-09-24",7,1,1,"Chem",,,,,,,,,91,,,,,,,,,
"AL",1984,289,"1984-10-15",0,1,1,"Chem",,,,,,,,,86,,,,,,,,,
"AL",1984,289,"1984-10-15",4,1,1,"Chem",,,,,,,,,87,,,,,,,,,
"AL",1984,289,"1984-10-15",7,1,1,"Chem",,,,,,,,,90,,,,,,,,,
"AL",1984,313,"1984-11-08",0,1,1,"Quarterly",0.34,3.34,10.5,3.01,1.5,0.77,,,84,,,,,,,,,
"AL",1984,313,"1984-11-08",4,1,1,"Quarterly",0.35,3.35,10.5,3.11,1.5,0.79,,,85,,,,,,,,,
"AL",1984,313,"1984-11-08",7,1,1,"Quarterly",0.35,3.35,10.45,3.13,1.49,0.78,,,85,,,,,,,,,
"AL",1985,7,"1985-01-07",0,1,1,"Chem",,,,,,,,,92,,,,,,,,,
"AL",1985,7,"1985-01-07",4,1,1,"Chem",,,,,,,,,92,,,,,,,,,
"AL",1985,7,"1985-01-07",7,1,1,"Chem",,,,,,,,,102,,,,,,,,,
"AL",1985,56,"1985-02-25",0,1,1,"Quarterly",,,,,,,,,93,,,,,,,,,
"AL",1985,56,"1985-02-25",0.5,1,1,"Quarterly",0.36,4.37,11.57,3.22,,0.74,,,,,,,,"I",,,,
"AL",1985,56,"1985-02-25",4,1,1,"Quarterly",0.36,3.55,12.34,3.43,1.61,0.91,,,98,,,,,,,,,
"AL",1985,56,"1985-02-25",7,1,1,"Quarterly",0.38,3.34,13.24,3.57,,,,,103,,,,,"I","I",,,
"AL",1985,86,"1985-03-27",0,1,1,"Chem",,,,,,,,,87,,,,,,,,,
"AL",1985,86,"1985-03-27",4,1,1,"Chem",,,,,,,,,99,,,,,,,,,
"AL",1985,86,"1985-03-27",7,1,1,"Chem",,,,,,,,,103,,,,,,,,,
"AL",1985,120,"1985-04-30",0,1,1,"Quarterly",0.33,3.24,10.44,3.04,1.4,0.78,,,82,,,,,,,,,
"AL",1985,120,"1985-04-30",3,1,1,"Quarterly",0.32,3.25,10.43,3.12,1.39,0.79,,,82,,,,,,,,,
"AL",1985,120,"1985-04-30",5,1,1,"Quarterly",0.32,3.26,10.73,3.11,1.4,0.73,,,82,,,,,,,,,
"AL",1985,120,"1985-04-30",7,1,1,"Quarterly",0.33,3.16,10.97,3.17,1.4,0.84,,,84,,,,,,,,,
"AL",1985,136,"1985-05-16",0,1,1,"Chem",,,,,,,,,80,,,,,,,,,
"AL",1985,136,"1985-05-16",4,1,1,"Chem",,,,,,,,,80,,,,,,,,,
"AL",1985,136,"1985-05-16",7,1,1,"Chem",,,,,,,,,92,,,,,,,,,
"AL",1985,148,"1985-05-28",0,1,1,"Chem",,,,,,,,,77,,,,,,,,,
"AL",1985,148,"1985-05-28",5,1,1,"Chem",,,,,,,,,82,,,,,,,,,
"AL",1985,148,"1985-05-28",7,1,1,"Chem",,,,,,,,,96,,,,,,,,,
"AL",1985,162,"1985-06-11",0,1,1,"Chem",,,,,,,,,79,,,,,,,,,
"AL",1985,162,"1985-06-11",5,1,1,"Chem",,,,,,,,,80,,,,,,,,,
"AL",1985,162,"1985-06-11",7,1,1,"Chem",,,,,,,,,97,,,,,,,,,
"AL",1985,175,"1985-06-24",0,1,1,"Chem",,,,,,,,,80,,,,,,,,,
"AL",1985,175,"1985-06-24",3,1,1,"Chem",,,,,,,,,83,,,,,,,,,
"AL",1985,175,"1985-06-24",7,1,1,"Chem",,,,,,,,,92,,,,,,,,,
"AL",1985,192,"1985-07-11",0,1,1,"Chem",,,,,,,,,81,,,,,,,,,
"AL",1985,192,"1985-07-11",4,1,1,"Chem",,,,,,,,,82,,,,,,,,,
"AL",1985,192,"1985-07-11",7,1,1,"Chem",,,,,,,,,97,,,,,,,,,
"AL",1985,204,"1985-07-23",0,1,1,"Chem",,,,,,,,,83,,,,,,,,,
"AL",1985,204,"1985-07-23",6,1,1,"Chem",,,,,,,,,92,,,,,,,,,
"AL",1985,204,"1985-07-23",7,1,1,"Chem",,,,,,,,,107,,,,,,,,,
"AL",1985,219,"1985-08-07",0,1,1,"Chem",,,,,,,,,84,,,,,,,,,
"AL",1985,219,"1985-08-07",6,1,1,"Chem",,,,,,,,,94,,,,,,,,,
"AL",1985,219,"1985-08-07",7,1,1,"Chem",,,,,,,,,121,,,,,,,,,
"AL",1985,231,"1985-08-19",0,1,1,"Quarterly",0.27,2.68,10.72,3.03,1.4,0.71,,,85,,,,,,,,,
"AL",1985,231,"1985-08-19",4,1,1,"Quarterly",0.26,2.69,10.97,3.08,1.4,0.68,,,85,,,,,,,,,
"AL",1985,231,"1985-08-19",7,1,1,"Quarterly",0.26,2.68,11.03,3.06,1.4,0.72,,,85,,,,,,,,,
"AL",1985,255,"1985-09-12",0,1,1,"Chem",,,,,,,,,83,,,,,,,,,
"AL",1985,255,"1985-09-12",4,1,1,"Chem",,,,,,,,,83,,,,,,,,,
"AL",1985,255,"1985-09-12",7,1,1,"Chem",,,,,,,,,103,,,,,,,,,
"AL",1985,273,"1985-09-30",0,1,1,"Chem",,,,,,,,,83,,,,,,,,,
"AL",1985,273,"1985-09-30",4,1,1,"Chem",,,,,,,,,83,,,,,,,,,
"AL",1985,273,"1985-09-30",7,1,1,"Chem",,,,,,,,,83,,,,,,,,,
"AL",1985,295,"1985-10-22",0,1,1,"Chem",,,,,,,,,78,,,,,,,,,
"AL",1985,295,"1985-10-22",4,1,1,"Chem",,,,,,,,,77,,,,,,,,,
"AL",1985,295,"1985-10-22",7,1,1,"Chem",,,,,,,,,77,,,,,,,,,
"AL",1985,315,"1985-11-11",0,1,1,"Quarterly",0.31,3.94,9.46,2.66,1.39,0.68,,,76,,,,,,,,,
"AL",1985,315,"1985-11-11",4,1,1,"Quarterly",0.31,3.89,9.1,2.71,1.38,0.67,,,77,,,,,,,,,
"AL",1985,315,"1985-11-11",7,1,1,"Quarterly",0.32,3.87,9.46,2.74,1.41,0.7,,,76,,,,,,,,,
"AL",1986,16,"1986-01-16",0,1,1,"Chem",,,,,,,,,81,,,,,,,,,
"AL",1986,16,"1986-01-16",4,1,1,"Chem",,,,,,,,,82,,,,,,,,,
"AL",1986,16,"1986-01-16",7,1,1,"Chem",,,,,,,,,98,,,,,,,,,
"AL",1986,62,"1986-03-03",0,1,1,"Quarterly",,,,,,,,,84,,,,,,,,,
"AL",1986,62,"1986-03-03",0.5,1,1,"Quarterly",0.35,4.54,10.78,3,1.6,0.67,,,,,,,,,,,,
"AL",1986,62,"1986-03-03",4,1,1,"Quarterly",0.39,4.33,11.07,3.11,1.45,0.72,,,88,,,,,,,,,
"AL",1986,62,"1986-03-03",7,1,1,"Quarterly",0.39,3.53,14.06,3.71,1.58,0.83,,,106,,,,,,,,,
"AL",1986,90,"1986-03-31",0,1,1,"Chem",,,,,,,,,82,,,,,,,,,
"AL",1986,90,"1986-03-31",4,1,1,"Chem",,,,,,,,,95,,,,,,,,,
"AL",1986,90,"1986-03-31",7,1,1,"Chem",,,,,,,,,106,,,,,,,,,
"AL",1986,114,"1986-04-24",0,1,1,"Quarterly",0.31,3.91,10.04,2.82,1.38,0.69,,,80,,,,,,,,,
"AL",1986,114,"1986-04-24",4,1,1,"Quarterly",0.33,3.9,10.09,2.87,1.37,0.69,,,80,,,,,,,,,
"AL",1986,114,"1986-04-24",7,1,1,"Quarterly",0.32,3.92,10.14,2.74,1.38,0.69,,,80,,,,,,,,,
"AL",1986,225,"1986-08-13",0,1,1,"Quarterly",0.29,3.44,11.1,3.2,1.49,0.62,,,83,,,,,,,,,
